date	hrate
10-Jun-16	59
9-Jun-16	56
8-Jun-16	60
7-Jun-16	65
6-Jun-16	56
3-Jun-16	64
2-Jun-16	59
1-Jun-16	58
31-May-16	61
30-May-16	63
27-May-16	63
26-May-16	63
25-May-16	59
24-May-16	61
23-May-16	65
21-May-16	63
20-May-16	60
19-May-16	58
19-May-16	59
19-May-16	56
18-May-16	62
18-May-16	60
18-May-16	57
17-May-16	62
17-May-16	61
17-May-16	63
16-May-16	57
16-May-16	59
13-May-16	55
13-May-16	62

